department,city_name,city_pop_2013,black,asian,hispanic,white,,
Albuquerque (NM) Police,Albuquerque,549812,24054,19488,256805,230615,,
Atlanta (GA) Police,Atlanta,432589,235925,18232,23089,157114,,
Austin (TX) Police,Austin,836800,76324,60644,289449,410982,,
Baltimore (MD) Police,BaltimoreCity,621445,402390,18342,26772,174590,,
Baltimore County (MD) Police,BaltimoreCounty,812261,225106,48116,35842,501786,,
Boston (MA) Police,Boston,629182,177163,61886,113055,292908,,
Charlotte-Mecklenburg (NC) Police,CharlotteMecklenburg,948170,305849,95267,116870,475059,,
Chicago (IL) Police,Chicago,2706101,897138,172396,775748,870611,,
Cincinnati (OH) Police,Cincinnati,297150,134750,7193,9080,145617,,
Miami (FL) Police,City of Miami,407526,83198,4219,286594,46185,,
Cleveland (OH) Police,Cleveland,394335,214048,8354,38739,136072,,
Columbus (OH) Police,Columbus,800594,240946,39689,44812,473053,,
Dallas (TX) Police,Dallas,1222167,311300,41435,512077,357744,,
DeKalb County (GA) Police,DekalbCounty,700308,386571,41612,66099,207895,,
Denver (CO) Police,Denver,619297,69171,27147,194513,326215,,
Detroit (MI) Police,Detroit,706663,587489,11087,50161,58044,,
El Paso (TX) Police,El Paso,660795,26440,11793,528932,96858,,
Fairfax County (VA) Police,FairfaxCounty,1101071,114730,220842,173532,593420,,
Fort Worth (TX) Police,Fort Worth,761092,151874,32204,260349,314642,,
Honolulu (HI) Police,Honolulu,964678,37022,590520,83045,186133,,
Houston (TX) Police,Houston,2134707,513553,146098,931154,549758,,
Indianapolis (IN) Metropolitan Police,Indianapolis,828841,244334,22618,78299,480816,,
Jacksonville (FL) SheriffÍs Office,Jacksonville,829721,266604,44718,66083,453931,,
Kansas City (MO) Police,Kansas City,462378,143911,13843,46738,254606,,
Las Vegas (NV) Metropolitan Police,LasVegas,1480058,173019,170561,456347,598147,,
Los Angeles (CA) Police,LosAngeles,3827261,394552,485525,1859792,1093728,,
Louisville (KY) Metro Police,LouisvilleMPD,601611,147105,16162,27463,409926,,
Memphis (TN) Police,Memphis,650932,416830,12888,41901,178529,,
Miami-Dade (FL) Police,MiamiDade,2549075,497101,49487,1653390,396762,,
Milwaukee (WI) Police,Milwaukee,596459,248341,24788,103431,220599,,
Metropolitan Nashville (TN) Police,Nashville,614908,180850,23233,61240,346725,,
New York (NY) Police,New York,8268999,2180179,1158805,2371116,2734318,,
Newark (NJ) Police,Newark,277357,154438,5016,94480,32638,,
New Orleans (LA) Police,NewOrleans,357013,216683,11624,18984,109009,,
Philadelphia (PA) Police,Philadelphia,1536704,690040,107879,194714,562222,,
Phoenix (AZ) Police,Phoenix,1473639,113174,59724,593458,685445,,
Portland (OR) Police,Portland,594687,45375,53995,56058,428334,,
Prince GeorgeÍs County (MD) Police,PrinceGeorgesCounty,873481,574800,42011,134192,128975,,
San Antonio (TX) Police,San Antonio,1359033,104503,40992,858684,360943,,
San Francisco (CA) Police,San Francisco,817501,55821,293485,124167,341100,,
San Diego (CA) Police,SanDiego,1322838,103434,247308,387367,584412,,
San Jose (CA) Police,SanJose,968903,82901,4553,321550,270936,,
Seattle (WA) Police,Seattle,624681,55855,105151,40110,416569,,
St. Louis (MO) Police,St. Louis,318955,159547,11133,11390,136088,,
Tampa (FL) Police,Tampa,343768,94534,14913,81604,157804,,
Tucson (AZ) Police,Tucson,523278,33185,19189,220146,244095,,
Washington (DC) Metropolitan Police,Washington DC,619371,318150,27811,59479,217331,,
